event_id,time_utc,latitude,longitude,depth_km,magnitude,magnitude_type,distance_from_reference_km,author,catalog,contributor,contributor_id,magnitude_author,location_name,source
41632332,2025-02-05T07:23:06.369Z,40.827667,14.145167,2.200000,1.300000,Md,0.596910,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41632412,2025-02-05T07:25:56.839Z,40.827833,14.148500,2.300000,1.300000,Md,0.808660,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41632442,2025-02-05T07:26:23.140Z,40.827833,14.146000,2.200000,1.000000,Md,0.635923,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41632592,2025-02-05T07:30:57.390Z,40.829167,14.149000,2.500000,2.300000,Md,0.784526,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41632612,2025-02-05T07:32:17.769Z,40.830333,14.148667,2.500000,2.600000,Md,0.724093,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41632742,2025-02-05T07:35:24.339Z,40.827333,14.143333,2.300000,1.700000,Md,0.533084,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41633432,2025-02-05T07:35:53.960Z,40.827333,14.147167,2.100000,1.300000,Md,0.747196,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41632852,2025-02-05T07:37:24.390Z,40.829000,14.147333,2.100000,1.700000,Md,0.661397,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41632902,2025-02-05T07:37:55.529Z,40.828167,14.146833,2.200000,1.800000,Md,0.669928,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41633452,2025-02-05T07:38:39.299Z,40.828167,14.147000,2.200000,1.100000,Md,0.681677,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41633132,2025-02-05T07:41:08.450Z,40.830000,14.145667,2.500000,1.800000,Md,0.489274,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41633142,2025-02-05T07:41:43.660Z,40.830000,14.140833,2.200000,1.700000,Md,0.175089,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41633422,2025-02-05T07:52:02.930Z,40.831333,14.148000,2.700000,3.200000,Md,0.656510,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41633552,2025-02-05T07:57:03.839Z,40.830167,14.145500,2.300000,1.100000,Md,0.469905,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41633692,2025-02-05T08:10:40.890Z,40.832167,14.151667,2.600000,1.900000,Md,0.967608,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41633882,2025-02-05T08:24:29.539Z,40.828833,14.145000,2.200000,1.000000,Md,0.501042,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41633982,2025-02-05T08:33:19.880Z,40.827500,14.148667,1.600000,1.000000,Md,0.839835,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41634612,2025-02-05T09:43:50.910Z,40.826333,14.150167,1.000000,1.100000,Md,1.016537,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41634642,2025-02-05T10:00:32.579Z,40.831333,14.147000,2.600000,2.700000,Md,0.572414,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41652342,2025-02-07T20:26:57.710Z,40.836000,14.122000,2.600000,1.300000,Md,1.610876,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41661122,2025-02-09T11:04:10.440Z,40.837500,14.115333,2.400000,1.500000,Md,2.195876,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41668742,2025-02-10T14:50:24.990Z,40.837167,14.116333,2.300000,2.300000,Md,2.104500,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41669662,2025-02-10T17:52:50.220Z,40.824833,14.131833,0.700000,1.600000,Md,1.022339,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41671662,2025-02-11T01:50:01.670Z,40.829833,14.140167,1.900000,1.700000,Md,0.185383,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41673582,2025-02-11T09:34:12.259Z,40.827000,14.140167,1.300000,1.700000,Md,0.500386,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41676872,2025-02-11T15:50:52.059Z,40.835333,14.128500,1.900000,1.200000,Md,1.072653,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41677282,2025-02-11T15:53:55.519Z,40.831500,14.127667,1.800000,1.800000,Md,1.054454,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41677422,2025-02-11T15:54:21.299Z,40.838167,14.132333,2.300000,1.000000,Md,0.993794,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41677022,2025-02-11T15:55:02.289Z,40.834167,14.130500,2.500000,1.200000,Md,0.868298,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41677432,2025-02-11T15:55:11.529Z,40.833167,14.129000,2.300000,1.600000,Md,0.960349,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41678752,2025-02-11T21:09:27.279Z,40.836000,14.129333,2.700000,1.700000,Md,1.042228,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41683152,2025-02-12T12:51:03.519Z,40.831333,14.110333,2.100000,1.100000,Md,2.512907,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41684752,2025-02-12T16:41:39.789Z,40.837167,14.137333,2.600000,1.700000,Md,0.674728,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41685892,2025-02-12T21:42:57.670Z,40.836333,14.132000,2.600000,2.100000,Md,0.874490,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41686072,2025-02-12T22:27:13.930Z,40.830167,14.144833,2.400000,2.600000,Md,0.417028,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41686272,2025-02-12T22:43:51.569Z,40.828333,14.138833,1.000000,1.000000,Md,0.370461,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41686632,2025-02-13T00:01:26.390Z,40.831500,14.140167,2.400000,1.200000,Md,0.002776,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41686712,2025-02-13T00:57:13.250Z,40.833667,14.143833,2.700000,1.600000,Md,0.389212,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41686812,2025-02-13T01:17:15.089Z,40.832000,14.138000,1.900000,1.000000,Md,0.193264,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41686892,2025-02-13T01:29:54.250Z,40.833000,14.141667,2.700000,1.400000,Md,0.207492,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41687012,2025-02-13T01:44:20.869Z,40.831500,14.134667,2.100000,1.000000,Md,0.465514,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41687062,2025-02-13T01:56:04.910Z,40.822833,14.151000,1.600000,1.300000,Md,1.324584,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41687142,2025-02-13T02:03:54.500Z,40.831000,14.135333,2.100000,1.200000,Md,0.413240,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41687872,2025-02-13T06:44:47.859Z,40.832333,14.140167,2.800000,1.800000,Md,0.092667,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41690452,2025-02-13T12:14:26.039Z,40.835167,14.119500,1.800000,1.600000,Md,1.788627,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
42063291,2025-02-13T15:34:23.029Z,40.832000,14.147167,1.900000,2.500000,Md,0.588791,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41692112,2025-02-13T15:37:08.329Z,40.836000,14.123167,2.400000,1.100000,Md,1.517858,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41693972,2025-02-13T21:55:38.769Z,40.828167,14.142833,1.600000,1.500000,Md,0.431775,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41694042,2025-02-13T22:03:00.380Z,40.829667,14.146667,2.400000,2.000000,Md,0.581026,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41694102,2025-02-13T22:18:28.170Z,40.830167,14.144000,2.100000,2.800000,Md,0.352401,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41694242,2025-02-13T22:41:06.900Z,40.831333,14.147333,2.200000,1.700000,Md,0.600417,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41701642,2025-02-14T19:10:11.859Z,40.820333,14.142833,0.900000,1.100000,Md,1.261324,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41701692,2025-02-14T19:25:48.170Z,40.833167,14.133000,2.200000,1.300000,Md,0.633484,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41702022,2025-02-14T21:27:56.599Z,40.814667,14.152500,3.000000,1.100000,Md,2.138837,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41702052,2025-02-14T21:29:44.799Z,40.814500,14.160667,2.400000,1.200000,Md,2.557196,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41702252,2025-02-14T22:23:26.869Z,40.814500,14.157167,3.000000,1.100000,Md,2.368879,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41702292,2025-02-14T22:29:21.150Z,40.812667,14.153667,3.000000,2.400000,Md,2.381080,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41702482,2025-02-14T23:01:36.970Z,40.816333,14.157667,2.700000,2.000000,Md,2.237052,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41703122,2025-02-15T02:19:10.119Z,40.812833,14.159667,2.400000,1.200000,Md,2.644185,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41705592,2025-02-15T15:53:49.940Z,40.829667,14.138500,2.500000,2.400000,Md,0.248999,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41705632,2025-02-15T15:55:57.690Z,40.826000,14.141667,1.300000,1.000000,Md,0.623904,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41705852,2025-02-15T16:15:59.230Z,40.829167,14.140167,2.200000,1.000000,Md,0.259433,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41706292,2025-02-15T18:22:14.829Z,40.829667,14.140167,2.500000,1.200000,Md,0.203839,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41706392,2025-02-15T18:25:39.539Z,40.828500,14.138333,1.900000,1.000000,Md,0.368719,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41706492,2025-02-15T18:25:47.150Z,40.829333,14.140167,2.500000,1.200000,Md,0.240976,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41706612,2025-02-15T19:41:38.619Z,40.831500,14.144667,2.600000,1.900000,Md,0.375827,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41708012,2025-02-16T00:21:10.440Z,40.830833,14.151667,1.900000,1.100000,Md,0.967618,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41708342,2025-02-16T01:58:23.450Z,40.823167,14.133167,1.900000,1.600000,Md,1.099426,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41708622,2025-02-16T02:41:38.769Z,40.825167,14.116000,2.600000,1.300000,Md,2.154479,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41708802,2025-02-16T02:53:09.309Z,40.827833,14.163500,2.000000,2.000000,Md,2.002337,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41708852,2025-02-16T02:56:48.839Z,40.824167,14.118000,2.700000,1.300000,Md,2.038099,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41708932,2025-02-16T02:57:51.059Z,40.825000,14.137833,2.100000,1.400000,Md,0.749704,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41709142,2025-02-16T03:12:17.059Z,40.823833,14.114500,2.600000,1.100000,Md,2.324364,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41709202,2025-02-16T03:19:54.470Z,40.824167,14.133333,1.800000,1.400000,Md,0.999349,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41709262,2025-02-16T03:30:10.819Z,40.826000,14.134833,2.000000,2.200000,Md,0.760220,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41709622,2025-02-16T04:28:49.890Z,40.824667,14.120333,2.400000,1.300000,Md,1.836156,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
41711002,2025-02-16T09:29:08.190Z,40.824500,14.141000,0.800000,1.000000,Md,0.781271,BULLETIN-OV,,,,--,Campi Flegrei,INGV_FDSN_EVENT_SERVICE
