experiment_id,window_id,relation_id,source_id,target_id,id02_status,null_id,observed_strength,observed_absolute_strength,paired_observation_count,requested_repetitions,estimable_repetitions,null_admissible,non_admissible_reason,null_mean_absolute_strength,null_median_absolute_strength,null_q95_absolute_strength,empirical_p_value,id02_status_modified,corrected_p_value,passes_alpha_0_05,passes_alpha_0_10
CGIE3_ID_03,30d,spearman::event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,eligible,independent_block_permutation,-0.7624175354,0.7624175354,8707,300,300,True,,0.1939510531,0.1676053597,0.4531474501,0.003322259136,False,0.007973421927,True,True
CGIE3_ID_03,30d,spearman::event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,eligible,within_window_value_permutation,-0.7624175354,0.7624175354,8707,300,300,True,,0.008694472309,0.007125367121,0.02230039476,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,30d,spearman::event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,eligible,circular_temporal_shift,0.3148075384,0.3148075384,8719,300,300,True,,0.2002458133,0.175985315,0.5006619361,0.1561461794,False,0.1784527765,False,False
CGIE3_ID_03,30d,spearman::event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,eligible,independent_block_permutation,0.3148075384,0.3148075384,8719,300,300,True,,0.1583011169,0.1321649342,0.364406867,0.1129568106,False,0.1426822871,False,False
CGIE3_ID_03,30d,spearman::event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,eligible,within_window_value_permutation,0.3148075384,0.3148075384,8719,300,300,True,,0.008849871973,0.007658102529,0.02132965701,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,30d,spearman::event_count--maximum_magnitude,event_count,maximum_magnitude,candidate,circular_temporal_shift,0.2076225819,0.2076225819,8719,300,300,True,,0.178196641,0.1762084172,0.4910789412,0.3122923588,False,0.3406825732,False,False
CGIE3_ID_03,30d,spearman::event_count--maximum_magnitude,event_count,maximum_magnitude,candidate,independent_block_permutation,0.2076225819,0.2076225819,8719,300,300,True,,0.1715924198,0.1484682626,0.4028050528,0.3355481728,False,0.3355481728,False,False
CGIE3_ID_03,30d,spearman::event_count--maximum_magnitude,event_count,maximum_magnitude,candidate,within_window_value_permutation,0.2076225819,0.2076225819,8719,300,300,True,,0.008249487304,0.007023939386,0.02155822778,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,30d,spearman::event_count--median_depth_km,event_count,median_depth_km,candidate,circular_temporal_shift,-0.2924734839,0.2924734839,8719,300,300,True,,0.238526417,0.2211713767,0.5014953542,0.3820598007,False,0.3820598007,False,False
CGIE3_ID_03,30d,spearman::event_count--median_depth_km,event_count,median_depth_km,candidate,independent_block_permutation,-0.2924734839,0.2924734839,8719,300,300,True,,0.1842445937,0.1774851546,0.4087890923,0.1860465116,False,0.1941354904,False,False
CGIE3_ID_03,30d,spearman::event_count--median_depth_km,event_count,median_depth_km,candidate,within_window_value_permutation,-0.2924734839,0.2924734839,8719,300,300,True,,0.008688693539,0.006918340208,0.0214877564,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,30d,spearman::event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,candidate,circular_temporal_shift,-0.784506337,0.784506337,8707,300,300,True,,0.2059781029,0.1925445259,0.4630729111,0.003322259136,False,0.007973421927,True,True
CGIE3_ID_03,30d,spearman::event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,candidate,independent_block_permutation,-0.784506337,0.784506337,8707,300,300,True,,0.1764402004,0.1449084165,0.4260605439,0.003322259136,False,0.007973421927,True,True
CGIE3_ID_03,30d,spearman::event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,candidate,within_window_value_permutation,-0.784506337,0.784506337,8707,300,300,True,,0.008650438178,0.007467718686,0.01998510614,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,30d,spearman::event_count--spatial_dispersion_km,event_count,spatial_dispersion_km,candidate,circular_temporal_shift,-0.3093456145,0.3093456145,8707,300,300,True,,0.2523300133,0.250694999,0.5116263267,0.3488372093,False,0.3640040445,False,False
CGIE3_ID_03,30d,spearman::event_count--spatial_dispersion_km,event_count,spatial_dispersion_km,candidate,independent_block_permutation,-0.3093456145,0.3093456145,8707,300,300,True,,0.1732100082,0.1546580192,0.4076120758,0.1428571429,False,0.1632653061,False,False
CGIE3_ID_03,30d,spearman::event_count--spatial_dispersion_km,event_count,spatial_dispersion_km,candidate,within_window_value_permutation,-0.3093456145,0.3093456145,8707,300,300,True,,0.008264866209,0.007289994838,0.01868582733,0.003322259136,False,0.003322259136,True,True
CGIE3_ID_03,30d,spearman::event_count--temporal_burstiness,event_count,temporal_burstiness,candidate,circular_temporal_shift,0.7035004302,0.7035004302,8671,300,300,True,,0.1796900622,0.1566681123,0.4181037849,0.003322259136,False,0.007973421927,True,True
CGIE3_ID_03,30d,spearman::event_count--temporal_burstiness,event_count,temporal_burstiness,candidate,independent_block_permutation,0.7035004302,0.7035004302,8671,300,300,True,,0.1716764856,0.1421182984,0.4306775039,0.003322259136,False,0.007973421927,True,True
CGIE3_ID_03,30d,spearman::event_count--temporal_burstiness,event_count,temporal_burstiness,candidate,within_window_value_permutation,0.7035004302,0.7035004302,8671,300,300,True,,0.00912460283,0.00834005958,0.02209738196,0.003322259136,False,0.003322259136,True,True
