experiment_id,family_id,window_id,relation_id,pair_id,source_id,target_id,id02_status,edge_weight,dependency_status,overlap_class,null_outcome,redundancy_status,supported_scale_count,family_reproducible,id02_status_modified
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,30d,spearman::event_count--median_interevent_time_hours,event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,candidate,0.8902346007,independent_source,overlap_robust,exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,3d,spearman::event_count--median_interevent_time_hours,event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,eligible,0.9397194271,independent_source,overlap_robust,exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,7d,spearman::event_count--median_interevent_time_hours,event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,eligible,0.9455237189,independent_source,overlap_robust,exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,30d,spearman::event_count--temporal_burstiness,event_count--temporal_burstiness,event_count,temporal_burstiness,candidate,0.8240334194,independent_source,overlap_robust,exceeds_null,retains_residual_information,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,3d,spearman::event_count--temporal_burstiness,event_count--temporal_burstiness,event_count,temporal_burstiness,eligible,0.8619322297,independent_source,overlap_robust,exceeds_null,retains_residual_information,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,7d,spearman::event_count--temporal_burstiness,event_count--temporal_burstiness,event_count,temporal_burstiness,eligible,0.8760515495,independent_source,overlap_robust,exceeds_null,retains_residual_information,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,1d,spearman::interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours,log10_cumulative_energy_joule,candidate,0.6575503913,independent_source,overlap_robust,exceeds_null,fully_redundant,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,30d,spearman::interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours,log10_cumulative_energy_joule,candidate,0.5038301255,independent_source,moderately_overlap_sensitive,partially_exceeds_null,fully_redundant,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,7d,spearman::interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours--log10_cumulative_energy_joule,interevent_time_mad_hours,log10_cumulative_energy_joule,candidate,0.700817235,independent_source,overlap_robust,exceeds_null,fully_redundant,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,1d,spearman::interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours,maximum_magnitude,candidate,0.6318836974,independent_source,overlap_robust,exceeds_null,fully_redundant,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,30d,spearman::interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours,maximum_magnitude,candidate,0.5047891621,independent_source,moderately_overlap_sensitive,partially_exceeds_null,fully_redundant,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,7d,spearman::interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours--maximum_magnitude,interevent_time_mad_hours,maximum_magnitude,eligible,0.7260578639,independent_source,overlap_robust,exceeds_null,fully_redundant,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,30d,spearman::interevent_time_mad_hours--median_interevent_time_hours,interevent_time_mad_hours--median_interevent_time_hours,interevent_time_mad_hours,median_interevent_time_hours,eligible,0.9453617544,shared_temporal_source,overlap_robust,exceeds_null,retains_residual_information,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,3d,spearman::interevent_time_mad_hours--median_interevent_time_hours,interevent_time_mad_hours--median_interevent_time_hours,interevent_time_mad_hours,median_interevent_time_hours,candidate,0.7557292832,shared_temporal_source,overlap_robust,exceeds_null,retains_residual_information,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,7d,spearman::interevent_time_mad_hours--median_interevent_time_hours,interevent_time_mad_hours--median_interevent_time_hours,interevent_time_mad_hours,median_interevent_time_hours,eligible,0.9275226525,shared_temporal_source,overlap_robust,exceeds_null,retains_residual_information,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,30d,spearman::interevent_time_mad_hours--temporal_burstiness,interevent_time_mad_hours--temporal_burstiness,interevent_time_mad_hours,temporal_burstiness,eligible,0.9075166906,shared_temporal_source,overlap_robust,exceeds_null,retains_residual_information,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,3d,spearman::interevent_time_mad_hours--temporal_burstiness,interevent_time_mad_hours--temporal_burstiness,interevent_time_mad_hours,temporal_burstiness,eligible,0.8467029116,shared_temporal_source,overlap_robust,exceeds_null,retains_residual_information,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,7d,spearman::interevent_time_mad_hours--temporal_burstiness,interevent_time_mad_hours--temporal_burstiness,interevent_time_mad_hours,temporal_burstiness,eligible,0.91619436,shared_temporal_source,overlap_robust,exceeds_null,retains_residual_information,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,1d,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,eligible,0.9971716766,partially_derived,overlap_robust,exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,30d,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,eligible,0.9777691995,partially_derived,overlap_robust,exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,3d,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,eligible,0.9971543987,partially_derived,overlap_robust,exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,7d,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,eligible,0.9964169497,partially_derived,overlap_robust,exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,1d,spearman::log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule,median_interevent_time_hours,eligible,0.7539899245,independent_source,overlap_robust,exceeds_null,fully_redundant,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,30d,spearman::log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule,median_interevent_time_hours,candidate,0.5415635269,independent_source,moderately_overlap_sensitive,partially_exceeds_null,fully_redundant,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,3d,spearman::log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule,median_interevent_time_hours,eligible,0.7905263846,independent_source,overlap_robust,exceeds_null,fully_redundant,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,7d,spearman::log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule,median_interevent_time_hours,candidate,0.7671363392,independent_source,overlap_robust,exceeds_null,fully_redundant,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,30d,spearman::log10_cumulative_energy_joule--temporal_burstiness,log10_cumulative_energy_joule--temporal_burstiness,log10_cumulative_energy_joule,temporal_burstiness,candidate,0.673120468,independent_source,overlap_robust,exceeds_null,fully_redundant,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,3d,spearman::log10_cumulative_energy_joule--temporal_burstiness,log10_cumulative_energy_joule--temporal_burstiness,log10_cumulative_energy_joule,temporal_burstiness,eligible,0.754040649,independent_source,overlap_robust,exceeds_null,fully_redundant,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,7d,spearman::log10_cumulative_energy_joule--temporal_burstiness,log10_cumulative_energy_joule--temporal_burstiness,log10_cumulative_energy_joule,temporal_burstiness,eligible,0.7380971372,independent_source,overlap_robust,exceeds_null,fully_redundant,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,1d,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,eligible,0.7475134262,independent_source,overlap_robust,exceeds_null,fully_redundant,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,30d,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,candidate,0.5591324188,independent_source,moderately_overlap_sensitive,partially_exceeds_null,fully_redundant,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,3d,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,eligible,0.7804889803,independent_source,overlap_robust,exceeds_null,fully_redundant,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,7d,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,candidate,0.7546952334,independent_source,overlap_robust,exceeds_null,fully_redundant,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,30d,spearman::maximum_magnitude--temporal_burstiness,maximum_magnitude--temporal_burstiness,maximum_magnitude,temporal_burstiness,eligible,0.6200638762,independent_source,overlap_robust,partially_exceeds_null,fully_redundant,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,3d,spearman::maximum_magnitude--temporal_burstiness,maximum_magnitude--temporal_burstiness,maximum_magnitude,temporal_burstiness,eligible,0.7444263642,independent_source,overlap_robust,exceeds_null,fully_redundant,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,7d,spearman::maximum_magnitude--temporal_burstiness,maximum_magnitude--temporal_burstiness,maximum_magnitude,temporal_burstiness,eligible,0.7268368607,independent_source,overlap_robust,exceeds_null,fully_redundant,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,30d,spearman::median_interevent_time_hours--temporal_burstiness,median_interevent_time_hours--temporal_burstiness,median_interevent_time_hours,temporal_burstiness,eligible,0.8908723174,shared_temporal_source,overlap_robust,exceeds_null,retains_residual_information,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,3d,spearman::median_interevent_time_hours--temporal_burstiness,median_interevent_time_hours--temporal_burstiness,median_interevent_time_hours,temporal_burstiness,eligible,0.9130757314,shared_temporal_source,overlap_robust,exceeds_null,retains_residual_information,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_02,7d,spearman::median_interevent_time_hours--temporal_burstiness,median_interevent_time_hours--temporal_burstiness,median_interevent_time_hours,temporal_burstiness,eligible,0.9295186521,shared_temporal_source,overlap_robust,exceeds_null,retains_residual_information,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_03,30d,spearman::event_count--median_depth_km,event_count--median_depth_km,event_count,median_depth_km,candidate,0.5084946968,independent_source,moderately_overlap_sensitive,partially_exceeds_null,retains_residual_information,2,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_04,7d,spearman::event_count--median_depth_km,event_count--median_depth_km,event_count,median_depth_km,candidate,0.6441682954,independent_source,overlap_robust,exceeds_null,retains_residual_information,2,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_05,30d,spearman::event_count--spatial_dispersion_km,event_count--spatial_dispersion_km,event_count,spatial_dispersion_km,candidate,0.4618691229,independent_source,moderately_overlap_sensitive,partially_exceeds_null,retains_residual_information,1,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_06,30d,spearman::interevent_time_mad_hours--median_depth_km,interevent_time_mad_hours--median_depth_km,interevent_time_mad_hours,median_depth_km,candidate,0.7095131033,independent_source,overlap_robust,exceeds_null,retains_residual_information,2,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_07,3d,spearman::interevent_time_mad_hours--median_depth_km,interevent_time_mad_hours--median_depth_km,interevent_time_mad_hours,median_depth_km,candidate,0.646185549,independent_source,overlap_robust,exceeds_null,retains_residual_information,2,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_08,30d,spearman::interevent_time_mad_hours--spatial_dispersion_km,interevent_time_mad_hours--spatial_dispersion_km,interevent_time_mad_hours,spatial_dispersion_km,eligible,0.6950647279,independent_source,moderately_overlap_sensitive,exceeds_null,retains_residual_information,2,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_09,7d,spearman::interevent_time_mad_hours--spatial_dispersion_km,interevent_time_mad_hours--spatial_dispersion_km,interevent_time_mad_hours,spatial_dispersion_km,candidate,0.6099814981,independent_source,moderately_overlap_sensitive,exceeds_null,retains_residual_information,2,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_10,30d,spearman::median_depth_km--median_interevent_time_hours,median_depth_km--median_interevent_time_hours,median_depth_km,median_interevent_time_hours,candidate,0.659067507,independent_source,overlap_robust,exceeds_null,retains_residual_information,1,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_11,1d,spearman::median_interevent_time_hours--spatial_dispersion_km,median_interevent_time_hours--spatial_dispersion_km,median_interevent_time_hours,spatial_dispersion_km,eligible,0.8998773472,independent_source,overlap_robust,exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_12,30d,spearman::median_interevent_time_hours--spatial_dispersion_km,median_interevent_time_hours--spatial_dispersion_km,median_interevent_time_hours,spatial_dispersion_km,eligible,0.816224631,independent_source,moderately_overlap_sensitive,exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_13,3d,spearman::median_interevent_time_hours--spatial_dispersion_km,median_interevent_time_hours--spatial_dispersion_km,median_interevent_time_hours,spatial_dispersion_km,candidate,0.7965164746,independent_source,overlap_robust,exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_14,7d,spearman::median_interevent_time_hours--spatial_dispersion_km,median_interevent_time_hours--spatial_dispersion_km,median_interevent_time_hours,spatial_dispersion_km,candidate,0.7912137007,independent_source,overlap_robust,exceeds_null,retains_residual_information,4,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_15,30d,spearman::spatial_dispersion_km--temporal_burstiness,spatial_dispersion_km--temporal_burstiness,spatial_dispersion_km,temporal_burstiness,candidate,0.6771911763,independent_source,moderately_overlap_sensitive,exceeds_null,retains_residual_information,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_16,3d,spearman::spatial_dispersion_km--temporal_burstiness,spatial_dispersion_km--temporal_burstiness,spatial_dispersion_km,temporal_burstiness,candidate,0.7485377152,independent_source,overlap_robust,exceeds_null,retains_residual_information,3,False,False
CGIE3_ID_03,CGIE3_ID_03_FAMILY_17,7d,spearman::spatial_dispersion_km--temporal_burstiness,spatial_dispersion_km--temporal_burstiness,spatial_dispersion_km,temporal_burstiness,eligible,0.7737479598,independent_source,overlap_robust,exceeds_null,retains_residual_information,3,False,False
