experiment_id,window_id,relation_id,source_id,target_id,id02_status,observed_strength,observed_absolute_strength,primary_nulls_admissible_count,primary_nulls_passed_alpha_0_05,primary_nulls_passed_alpha_0_10,null_outcome,primary_null_margin,minimum_one_primary_null_exceeded,id02_status_modified,null_circular_temporal_shift_admissible,null_circular_temporal_shift_estimable_repetitions,null_circular_temporal_shift_median_absolute_strength,null_circular_temporal_shift_q95_absolute_strength,null_circular_temporal_shift_empirical_p_value,null_circular_temporal_shift_corrected_p_value,null_circular_temporal_shift_passes_0_05,null_independent_block_permutation_admissible,null_independent_block_permutation_estimable_repetitions,null_independent_block_permutation_median_absolute_strength,null_independent_block_permutation_q95_absolute_strength,null_independent_block_permutation_empirical_p_value,null_independent_block_permutation_corrected_p_value,null_independent_block_permutation_passes_0_05,null_within_window_value_permutation_admissible,null_within_window_value_permutation_estimable_repetitions,null_within_window_value_permutation_median_absolute_strength,null_within_window_value_permutation_q95_absolute_strength,null_within_window_value_permutation_empirical_p_value,null_within_window_value_permutation_corrected_p_value,null_within_window_value_permutation_passes_0_05
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--median_interevent_time_hours,interevent_time_mad_hours,median_interevent_time_hours,eligible,0.9768087719,0.9768087719,3,3,3,exceeds_null,0.8732468276,True,False,True,300,0.1476824489,0.4704326851,0.003322259136,0.007973421927,True,True,300,0.1552002427,0.433759866,0.003322259136,0.007973421927,True,True,300,0.007803141431,0.02140598507,0.003322259136,0.003322259136,True
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--spatial_dispersion_km,interevent_time_mad_hours,spatial_dispersion_km,eligible,0.6003236393,0.6003236393,3,2,3,exceeds_null,0.4932787564,True,False,True,300,0.1524307744,0.5517607428,0.03986710963,0.06378737542,False,True,300,0.1611547851,0.3924247661,0.003322259136,0.007973421927,True,True,300,0.007549089048,0.01984145374,0.003322259136,0.003322259136,True
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--temporal_burstiness,interevent_time_mad_hours,temporal_burstiness,eligible,-0.8709167861,0.8709167861,3,3,3,exceeds_null,0.7843939785,True,False,True,300,0.1070393662,0.3397140773,0.003322259136,0.007973421927,True,True,300,0.1459107854,0.4416516513,0.003322259136,0.007973421927,True,True,300,0.006618271243,0.0185361819,0.003322259136,0.003322259136,True
CGIE3_ID_03,30d,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,eligible,0.9721793308,0.9721793308,3,3,3,exceeds_null,0.8852831453,True,False,True,300,0.1278000081,0.2614466804,0.003322259136,0.007973421927,True,True,300,0.1248289886,0.3464269161,0.003322259136,0.007973421927,True,True,300,0.008059559699,0.02189118942,0.003322259136,0.003322259136,True
CGIE3_ID_03,30d,spearman::log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule,median_interevent_time_hours,candidate,-0.3744843013,0.3744843013,3,1,3,partially_exceeds_null,0.2754745633,True,False,True,300,0.1466595733,0.3118719195,0.02325581395,0.05073995772,False,True,300,0.1440005181,0.3694734589,0.04318936877,0.0609732265,False,True,300,0.006369122588,0.0204325574,0.003322259136,0.003322259136,True
CGIE3_ID_03,30d,spearman::log10_cumulative_energy_joule--temporal_burstiness,log10_cumulative_energy_joule,temporal_burstiness,candidate,0.4489356734,0.4489356734,3,2,3,exceeds_null,0.3615501076,True,False,True,300,0.1152473845,0.459928785,0.06644518272,0.08393075713,False,True,300,0.1393474939,0.3655331405,0.01661129568,0.03066700741,True,True,300,0.007561818896,0.01941412685,0.003322259136,0.003322259136,True
CGIE3_ID_03,30d,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,candidate,-0.2956620938,0.2956620938,3,1,2,partially_exceeds_null,0.1952262114,True,False,True,300,0.1434298252,0.2953623271,0.04983388704,0.07475083056,False,True,300,0.1505138226,0.3782404366,0.1661129568,0.1812141347,False,True,300,0.007363999575,0.02173718605,0.003322259136,0.003322259136,True
CGIE3_ID_03,30d,spearman::maximum_magnitude--temporal_burstiness,maximum_magnitude,temporal_burstiness,eligible,0.3919860475,0.3919860475,3,1,3,partially_exceeds_null,0.3067749552,True,False,True,300,0.1142075283,0.4113306023,0.06312292359,0.08393075713,False,True,300,0.1340918423,0.3609048155,0.04318936877,0.0609732265,False,True,300,0.007333906334,0.0208204366,0.003322259136,0.003322259136,True
CGIE3_ID_03,30d,spearman::median_depth_km--median_interevent_time_hours,median_depth_km,median_interevent_time_hours,candidate,0.5453375348,0.5453375348,3,3,3,exceeds_null,0.428461919,True,False,True,300,0.1888912803,0.433166181,0.003322259136,0.007973421927,True,True,300,0.1538611408,0.397136066,0.009966777409,0.01993355482,True,True,300,0.007874426589,0.02050789529,0.003322259136,0.003322259136,True
CGIE3_ID_03,30d,spearman::median_depth_km--spatial_dispersion_km,median_depth_km,spatial_dispersion_km,eligible,0.7668159829,0.7668159829,3,3,3,exceeds_null,0.6493648385,True,False,True,300,0.1902242233,0.4766770031,0.003322259136,0.007973421927,True,True,300,0.1550522931,0.426969562,0.003322259136,0.007973421927,True,True,300,0.007076916862,0.02093521702,0.003322259136,0.003322259136,True
CGIE3_ID_03,30d,spearman::median_interevent_time_hours--spatial_dispersion_km,median_interevent_time_hours,spatial_dispersion_km,eligible,0.6227898219,0.6227898219,3,2,3,exceeds_null,0.5277608741,True,False,True,300,0.1074357796,0.4516198481,0.03322259136,0.05695301376,False,True,300,0.1708327403,0.3995866868,0.003322259136,0.007973421927,True,True,300,0.006818323428,0.02118583666,0.003322259136,0.003322259136,True
