experiment_id,window_id,relation_id,source_id,target_id,id02_status,sampling_scheme,stride_hours,sampled_row_count,paired_observation_count,estimability,non_estimable_reason,strength,absolute_strength,sign,bootstrap_estimable_count,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_ci_width,lag1_autocorrelation_source,lag1_autocorrelation_target,bootstrap_seed,id02_status_modified,nominal_spacing_hours,irregular_spacing_fraction
CGIE3_ID_03,30d,spearman::depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,candidate,half_window_stride,360,25,24,estimable,,-0.5638165576,0.5638165576,-1,300,-0.867356892,-0.2368891451,0.6304677468,0.4524091174,0.3432299123,2721554681,False,1,0
CGIE3_ID_03,30d,spearman::depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,candidate,non_overlapping,720,13,12,estimable,,-0.5640505517,0.5640505517,-1,292,-0.8945461093,0.01569365747,0.9102397668,,,1171513338,False,1,0
CGIE3_ID_03,30d,spearman::depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,candidate,rolling_full,1,8760,8707,estimable,,-0.4485559896,0.4485559896,-1,300,-0.5970060386,-0.2754644136,0.3215416251,0.996799788,0.9989476926,3585191372,False,1,0
CGIE3_ID_03,30d,spearman::event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,eligible,half_window_stride,360,25,24,estimable,,-0.7617391304,0.7617391304,-1,300,-0.9292198896,-0.2241008772,0.7051190124,0.5820930558,0.5533494325,1949959287,False,1,0
CGIE3_ID_03,30d,spearman::event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,eligible,non_overlapping,720,13,12,estimable,,-0.6433566434,0.6433566434,-1,300,-0.9361061857,-0.07655630402,0.8595498816,-0.06918766784,,2805704319,False,1,0
CGIE3_ID_03,30d,spearman::event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,eligible,rolling_full,1,8760,8707,estimable,,-0.7624175354,0.7624175354,-1,300,-0.8453275088,-0.6503746945,0.1949528143,0.9999138432,0.9974650069,3886518136,False,1,0
CGIE3_ID_03,30d,spearman::event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,eligible,half_window_stride,360,25,24,estimable,,0.2504347826,0.2504347826,1,300,-0.5392786127,0.7830001968,1.322278809,0.5820930558,0.3097594362,3541074222,False,1,0
CGIE3_ID_03,30d,spearman::event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,eligible,non_overlapping,720,13,12,estimable,,0.1468531469,0.1468531469,1,300,-0.50988579,0.6637334258,1.173619216,-0.06918766784,,1923068030,False,1,0
CGIE3_ID_03,30d,spearman::event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,eligible,rolling_full,1,8760,8719,estimable,,0.3148075384,0.3148075384,1,300,0.1075195764,0.4883322068,0.3808126304,0.9999138432,0.9986314761,1981972240,False,1,0
CGIE3_ID_03,30d,spearman::event_count--maximum_magnitude,event_count,maximum_magnitude,candidate,half_window_stride,360,25,24,estimable,,0.1630983936,0.1630983936,1,300,-0.4677246456,0.7398670707,1.207591716,0.5820930558,0.2841029959,1651899526,False,1,0
CGIE3_ID_03,30d,spearman::event_count--maximum_magnitude,event_count,maximum_magnitude,candidate,non_overlapping,720,13,12,estimable,,0.1719308829,0.1719308829,1,300,-0.4623982877,0.630587084,1.092985372,-0.06918766784,,1348302097,False,1,0
CGIE3_ID_03,30d,spearman::event_count--maximum_magnitude,event_count,maximum_magnitude,candidate,rolling_full,1,8760,8719,estimable,,0.2076225819,0.2076225819,1,300,0.01210976113,0.4228051414,0.4106953803,0.9999138432,0.9981598913,2345060339,False,1,0
CGIE3_ID_03,30d,spearman::event_count--median_depth_km,event_count,median_depth_km,candidate,half_window_stride,360,25,24,estimable,,-0.3434518651,0.3434518651,-1,300,-0.7378735358,0.2474511912,0.9853247271,0.5820930558,0.3432299123,2864328613,False,1,0
CGIE3_ID_03,30d,spearman::event_count--median_depth_km,event_count,median_depth_km,candidate,non_overlapping,720,13,12,estimable,,-0.1058242205,0.1058242205,-1,300,-0.6511638326,0.4758235967,1.126987429,-0.06918766784,,3830266423,False,1,0
CGIE3_ID_03,30d,spearman::event_count--median_depth_km,event_count,median_depth_km,candidate,rolling_full,1,8760,8719,estimable,,-0.2924734839,0.2924734839,-1,300,-0.4917134655,-0.07601242961,0.4157010359,0.9999138432,0.9989476926,134369536,False,1,0
CGIE3_ID_03,30d,spearman::event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,candidate,half_window_stride,360,25,24,estimable,,-0.7617391304,0.7617391304,-1,300,-0.923269564,-0.3681461157,0.5551234483,0.5820930558,0.5056530679,1216888361,False,1,0
CGIE3_ID_03,30d,spearman::event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,candidate,non_overlapping,720,13,12,estimable,,-0.6433566434,0.6433566434,-1,300,-0.9008739273,0.06531986532,0.9661937926,-0.06918766784,,658542919,False,1,0
CGIE3_ID_03,30d,spearman::event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,candidate,rolling_full,1,8760,8707,estimable,,-0.784506337,0.784506337,-1,300,-0.8722755258,-0.6759505713,0.1963249546,0.9999138432,0.9972811975,2007946661,False,1,0
CGIE3_ID_03,30d,spearman::event_count--spatial_dispersion_km,event_count,spatial_dispersion_km,candidate,half_window_stride,360,25,24,estimable,,-0.3582608696,0.3582608696,-1,300,-0.7135055481,0.1765838897,0.8900894378,0.5820930558,0.4653103965,2402238290,False,1,0
