experiment_id,window_id,relation_id,source_id,target_id,id02_status,nominal_sample_count,half_stride_sample_count,nonoverlap_sample_count,rolling_strength,half_stride_strength,nonoverlap_strength,rolling_sign,half_stride_sign,nonoverlap_sign,half_stride_absolute_strength_change,nonoverlap_absolute_strength_change,nonoverlap_sign_preserved,rolling_bootstrap_ci_width,half_stride_bootstrap_ci_width,nonoverlap_bootstrap_ci_width,lag1_autocorrelation_source,lag1_autocorrelation_target,effective_support_diagnostic,overlap_class,strongly_overlap_sensitive_flag,nonoverlap_estimable,id02_status_modified
CGIE3_ID_03,30d,spearman::interevent_time_mad_hours--temporal_burstiness,interevent_time_mad_hours,temporal_burstiness,eligible,8671,24,12,-0.8709167861,-0.8617391304,-0.7342657343,-1,-1,-1,0.009177655702,0.1366510519,True,0.1012128194,0.2085890736,0.4705164504,0.9974650069,0.999343589,12,overlap_robust,False,True,False
CGIE3_ID_03,30d,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,eligible,8719,24,12,0.9721793308,0.971594184,0.961409427,1,1,1,0.000585146792,0.01076990378,True,0.02900162808,0.05631808248,0.08668545712,0.9986314761,0.9981598913,12,overlap_robust,False,True,False
CGIE3_ID_03,30d,spearman::log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule,median_interevent_time_hours,candidate,8707,24,12,-0.3744843013,-0.36,-0.1188811189,-1,-1,-1,0.01448430131,0.2556031824,True,0.3819261472,0.9187488802,0.9906179947,0.9986314761,0.9972811975,12,moderately_overlap_sensitive,False,True,False
CGIE3_ID_03,30d,spearman::log10_cumulative_energy_joule--temporal_burstiness,log10_cumulative_energy_joule,temporal_burstiness,candidate,8671,24,12,0.4489356734,0.4504347826,0.3006993007,1,1,1,0.001499109227,0.1482363727,True,0.3339346956,0.6440355363,0.9785368825,0.9986314761,0.999343589,12,overlap_robust,False,True,False
CGIE3_ID_03,30d,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,candidate,8707,24,12,-0.2956620938,-0.2925276818,-0.1087725994,-1,-1,-1,0.003134411972,0.1868894944,True,0.383208682,0.9120511866,0.8255005846,0.9981598913,0.9972811975,12,moderately_overlap_sensitive,False,True,False
CGIE3_ID_03,30d,spearman::maximum_magnitude--temporal_burstiness,maximum_magnitude,temporal_burstiness,eligible,8671,24,12,0.3919860475,0.4049037868,0.3438617659,1,1,1,0.01291773931,0.04812428167,True,0.3864892333,0.691315165,0.9914893617,0.9981598913,0.999343589,12,overlap_robust,False,True,False
CGIE3_ID_03,30d,spearman::median_depth_km--median_interevent_time_hours,median_depth_km,median_interevent_time_hours,candidate,8707,24,12,0.5453375348,0.6161930522,0.5890881609,1,1,1,0.07085551733,0.04375062601,True,0.2699860524,0.4430730133,0.70496118,0.9989476926,0.9972811975,12,overlap_robust,False,True,False
CGIE3_ID_03,30d,spearman::median_depth_km--spatial_dispersion_km,median_depth_km,spatial_dispersion_km,eligible,8707,24,12,0.7668159829,0.772986295,0.7125497515,1,1,1,0.00617031203,0.05426623148,True,0.1429911015,0.5680222637,0.5887621928,0.9989476926,0.9991111308,12,overlap_robust,False,True,False
CGIE3_ID_03,30d,spearman::median_interevent_time_hours--spatial_dispersion_km,median_interevent_time_hours,spatial_dispersion_km,eligible,8707,24,12,0.6227898219,0.6382608696,0.3986013986,1,1,1,0.01547104765,0.2241884233,True,0.2968787361,0.5047624429,0.8039556583,0.9972811975,0.9991111308,12,moderately_overlap_sensitive,False,True,False
CGIE3_ID_03,30d,spearman::median_interevent_time_hours--temporal_burstiness,median_interevent_time_hours,temporal_burstiness,eligible,8671,24,12,-0.8710282538,-0.8617391304,-0.7342657343,-1,-1,-1,0.009289123317,0.1367625195,True,0.09238829572,0.2039028269,0.4675650334,0.9972811975,0.999343589,12,overlap_robust,False,True,False
CGIE3_ID_03,30d,spearman::spatial_dispersion_km--temporal_burstiness,spatial_dispersion_km,temporal_burstiness,candidate,8671,24,12,-0.4276225484,-0.4956521739,-0.1818181818,-1,-1,-1,0.06802962548,0.2458043666,True,0.3727815212,0.6024117463,1.116652393,0.9991111308,0.999343589,12,moderately_overlap_sensitive,False,True,False
CGIE3_ID_03,3d,spearman::depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,candidate,7429,203,104,-0.2500408068,-0.216406489,-0.2867477422,-1,-1,-1,0.03363431772,0.03670693548,True,0.2543515664,0.2991315263,0.274358697,0.9620730149,0.9844995421,104,overlap_robust,False,True,False
CGIE3_ID_03,3d,spearman::event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,eligible,8366,235,120,0.7643132483,0.7834922957,0.7853127631,1,1,1,0.01917904744,0.0209995148,True,0.1358147027,0.1698354055,0.1743510495,0.9984477651,0.9887866175,120,overlap_robust,False,True,False
CGIE3_ID_03,3d,spearman::event_count--maximum_magnitude,event_count,maximum_magnitude,eligible,8366,235,120,0.6849611887,0.7113683819,0.7220867388,1,1,1,0.02640719322,0.03712555018,True,0.1471119432,0.1852958402,0.2076636239,0.9984477651,0.98777766,120,overlap_robust,False,True,False
CGIE3_ID_03,3d,spearman::event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,eligible,7429,203,104,-0.6985971355,-0.6986685712,-0.7016862184,-1,-1,-1,7.143571952e-05,0.003089082927,True,0.1846248434,0.1779580302,0.2684065797,0.9984477651,0.9583791977,104,overlap_robust,False,True,False
CGIE3_ID_03,3d,spearman::event_count--temporal_burstiness,event_count,temporal_burstiness,eligible,6411,176,86,0.726327815,0.7399057576,0.74194066,1,1,1,0.01357794266,0.01561284499,True,0.1394750048,0.1285368314,0.2163978529,0.9984477651,0.9656062031,86,overlap_robust,False,True,False
CGIE3_ID_03,3d,spearman::interevent_time_mad_hours--median_depth_km,interevent_time_mad_hours,median_depth_km,candidate,7429,203,104,0.2309277449,0.1855596792,0.2007003382,1,1,1,0.04536806572,0.03022740664,True,0.2395187607,0.3082550334,0.3318554136,0.8973207033,0.9844995421,104,overlap_robust,False,True,False
CGIE3_ID_03,3d,spearman::interevent_time_mad_hours--median_interevent_time_hours,interevent_time_mad_hours,median_interevent_time_hours,candidate,7429,203,104,0.3619797493,0.3982381852,0.3623053685,1,1,1,0.03625843589,0.0003256191853,True,0.2876080002,0.4261249998,0.5241465942,0.8973207033,0.9583791977,104,overlap_robust,False,True,False
CGIE3_ID_03,3d,spearman::interevent_time_mad_hours--temporal_burstiness,interevent_time_mad_hours,temporal_burstiness,eligible,6411,176,86,-0.6501812247,-0.6660738096,-0.7783480353,-1,-1,-1,0.01589258495,0.1281668106,True,0.1878316259,0.2201353977,0.159088176,0.8973207033,0.9656062031,86,overlap_robust,False,True,False
CGIE3_ID_03,3d,spearman::log10_cumulative_energy_joule--maximum_magnitude,log10_cumulative_energy_joule,maximum_magnitude,eligible,8366,235,120,0.9857719933,0.9869839116,0.9882666196,1,1,1,0.00121191834,0.002494626287,True,0.01108925438,0.01122648978,0.010857696,0.9887866175,0.98777766,120,overlap_robust,False,True,False
CGIE3_ID_03,3d,spearman::log10_cumulative_energy_joule--median_interevent_time_hours,log10_cumulative_energy_joule,median_interevent_time_hours,eligible,7429,203,104,-0.6192985896,-0.6342518757,-0.6319265331,-1,-1,-1,0.01495328612,0.01262794347,True,0.1772339058,0.1980573269,0.2192354533,0.9887866175,0.9583791977,104,overlap_robust,False,True,False
CGIE3_ID_03,3d,spearman::log10_cumulative_energy_joule--temporal_burstiness,log10_cumulative_energy_joule,temporal_burstiness,eligible,6411,176,86,0.6035365782,0.615943975,0.5503750177,1,1,1,0.01240739676,0.05316156053,True,0.2020743092,0.214334081,0.2445484738,0.9887866175,0.9656062031,86,overlap_robust,False,True,False
CGIE3_ID_03,3d,spearman::maximum_magnitude--median_interevent_time_hours,maximum_magnitude,median_interevent_time_hours,eligible,7429,203,104,-0.5691115683,-0.5923265507,-0.5841945901,-1,-1,-1,0.02321498247,0.01508302184,True,0.1820043793,0.1897952089,0.2215935607,0.98777766,0.9583791977,104,overlap_robust,False,True,False
CGIE3_ID_03,3d,spearman::maximum_magnitude--temporal_burstiness,maximum_magnitude,temporal_burstiness,eligible,6411,176,86,0.5554651543,0.5685028856,0.4877192662,1,1,1,0.01303773134,0.06774588812,True,0.2295112409,0.2522165751,0.2572409181,0.98777766,0.9656062031,86,overlap_robust,False,True,False
CGIE3_ID_03,3d,spearman::median_depth_km--spatial_dispersion_km,median_depth_km,spatial_dispersion_km,candidate,7429,203,104,0.3355845205,0.2936141292,0.2830931265,1,1,1,0.04197039131,0.052491394,True,0.2706160036,0.2878418441,0.2855671425,0.9844995421,0.9722844533,104,overlap_robust,False,True,False
CGIE3_ID_03,3d,spearman::median_interevent_time_hours--spatial_dispersion_km,median_interevent_time_hours,spatial_dispersion_km,candidate,7429,203,104,0.3159157065,0.3660734203,0.3470607063,1,1,1,0.0501577138,0.03114499983,True,0.2481940355,0.2701210564,0.3509023651,0.9583791977,0.9722844533,104,overlap_robust,False,True,False
CGIE3_ID_03,3d,spearman::median_interevent_time_hours--temporal_burstiness,median_interevent_time_hours,temporal_burstiness,eligible,6411,176,86,-0.8153786569,-0.8182592608,-0.8776357375,-1,-1,-1,0.002880603875,0.06225708062,True,0.1253347465,0.1541015376,0.07546850136,0.9583791977,0.9656062031,86,overlap_robust,False,True,False
