experiment_id,relation_id,source_id,target_id,estimator_id,direction,status,estimability,strength,absolute_strength,sign,uncertainty,sample_count,persistence,window_id,timestamp_utc,p_value,non_estimable_reason
CGIE3_ID_02,spearman::depth_mad_km--interevent_time_mad_hours,depth_mad_km,interevent_time_mad_hours,spearman,undirected,candidate,estimable,0.1026379911,0.1026379911,1,,7429,,3d,2025-12-31T23:00:00+00:00,7.415263223e-19,
CGIE3_ID_02,spearman::depth_mad_km--log10_cumulative_energy_joule,depth_mad_km,log10_cumulative_energy_joule,spearman,undirected,candidate,estimable,0.0007731058937,0.0007731058937,1,,7429,,3d,2025-12-31T23:00:00+00:00,0.9468809854,
CGIE3_ID_02,spearman::depth_mad_km--maximum_magnitude,depth_mad_km,maximum_magnitude,spearman,undirected,candidate,estimable,-0.01843539033,0.01843539033,-1,,7429,,3d,2025-12-31T23:00:00+00:00,0.1120955522,
CGIE3_ID_02,spearman::depth_mad_km--median_depth_km,depth_mad_km,median_depth_km,spearman,undirected,candidate,estimable,-0.2500408068,0.2500408068,-1,,7429,,3d,2025-12-31T23:00:00+00:00,2.804580985e-106,
CGIE3_ID_02,spearman::depth_mad_km--median_interevent_time_hours,depth_mad_km,median_interevent_time_hours,spearman,undirected,candidate,estimable,-0.03639816905,0.03639816905,-1,,7429,,3d,2025-12-31T23:00:00+00:00,0.001702617054,
CGIE3_ID_02,spearman::depth_mad_km--spatial_dispersion_km,depth_mad_km,spatial_dispersion_km,spearman,undirected,candidate,estimable,0.2108124784,0.2108124784,1,,7429,,3d,2025-12-31T23:00:00+00:00,2.118882915e-75,
CGIE3_ID_02,spearman::depth_mad_km--temporal_burstiness,depth_mad_km,temporal_burstiness,spearman,undirected,candidate,estimable,0.07812531798,0.07812531798,1,,6411,,3d,2025-12-31T23:00:00+00:00,3.7582911e-10,
CGIE3_ID_02,spearman::event_count--interevent_time_mad_hours,event_count,interevent_time_mad_hours,spearman,undirected,candidate,estimable,0.007050976589,0.007050976589,1,,7429,,3d,2025-12-31T23:00:00+00:00,0.5434258857,
CGIE3_ID_02,spearman::event_count--log10_cumulative_energy_joule,event_count,log10_cumulative_energy_joule,spearman,undirected,candidate,estimable,0.7643132483,0.7643132483,1,,8366,,3d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::event_count--maximum_magnitude,event_count,maximum_magnitude,spearman,undirected,candidate,estimable,0.6849611887,0.6849611887,1,,8366,,3d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::event_count--median_depth_km,event_count,median_depth_km,spearman,undirected,candidate,estimable,-0.1424499456,0.1424499456,-1,,8366,,3d,2025-12-31T23:00:00+00:00,3.554833996e-39,
CGIE3_ID_02,spearman::event_count--median_interevent_time_hours,event_count,median_interevent_time_hours,spearman,undirected,candidate,estimable,-0.6985971355,0.6985971355,-1,,7429,,3d,2025-12-31T23:00:00+00:00,0,
CGIE3_ID_02,spearman::event_count--spatial_dispersion_km,event_count,spatial_dispersion_km,spearman,undirected,candidate,estimable,-0.07128881314,0.07128881314,-1,,7429,,3d,2025-12-31T23:00:00+00:00,7.685362685e-10,
